id,term,normalized_term,language,category,description,example,aliases,regex_pattern,notes,,,,,,,,,,
,,Фен,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
,,Вася,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
,,Витя,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
,,Витюня,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
,,Федя,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
,,Шпикачка,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
,,Шпэк,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
,,Паша-Нюхарь,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
,,Скоростюшка,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
,,Света,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
,,Шпреха(в Купчино) Штукатурка,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
,,Ноздрик,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
,,Плюса,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
,,Скорость,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
,,Дюк,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
,,Капча,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
,,также названия,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
,,употребляемые преимущественно на Комендане.,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
,,Анестезиюшка,,,"калипсол, или кетамин, медицинское средство для наркоза, мощный диссоциатив.",,,,,,,,,,,,,,
,,Кетиш,,,"калипсол, или кетамин, медицинское средство для наркоза, мощный диссоциатив.",,,,,,,,,,,,,,
,,Витамин К,,,"калипсол, или кетамин, медицинское средство для наркоза, мощный диссоциатив.",,,,,,,,,,,,,,
,,Антрацит,,,общее название сухих кристаллических наркотиков.,,,,,,,,,,,,,,
,,Атом,,,"этаминал натрия, сильное снотворное средство, производное барбитуровой кислоты, используемое в качестве наркотического.",,,,,,,,,,,,,,
,,Афганка,,,"конопля, выращеная и привезённая из Афганистана.",,,,,,,,,,,,,,
,,Балтийский чай,,,коктейль из водки с кокаином.,,,,,,,,,,,,,,
,,Базик,,,"трава (не обязательно марихуана), вымоченная в растворе pcp (писипи) и высушенная, имеющая соответствующее действие, применяется для курения.",,,,,,,,,,,,,,
,,Белый,,,"как правило, очищенный героин или морфин - в виде белого порошка, в противовес «Чёрному» — опию-сырцу (ханке).",,,,,,,,,,,,,,
,,Беленький,,,"как правило, очищенный героин или морфин - в виде белого порошка, в противовес «Чёрному» — опию-сырцу (ханке).",,,,,,,,,,,,,,
,,Белдыга,,,"как правило, очищенный героин или морфин - в виде белого порошка, в противовес «Чёрному» — опию-сырцу (ханке).",,,,,,,,,,,,,,
,,Бутик,,,"натрия оксибутират, «жидкий экстази».",,,,,,,,,,,,,,
,,Буратино,,,"натрия оксибутират, «жидкий экстази».",,,,,,,,,,,,,,
,,Вода,,,"натрия оксибутират, «жидкий экстази».",,,,,,,,,,,,,,
,,Пляс-Вода,,,"натрия оксибутират, «жидкий экстази».",,,,,,,,,,,,,,
,,Оксик,,,"натрия оксибутират, «жидкий экстази».",,,,,,,,,,,,,,
,,Оксана,,,"натрия оксибутират, «жидкий экстази».",,,,,,,,,,,,,,
,,Буте(и)рат,,,"натрия оксибутират, «жидкий экстази».",,,,,,,,,,,,,,
,,Бут(е)ир,,,"натрия оксибутират, «жидкий экстази».",,,,,,,,,,,,,,
,,Винт,,,"первитин, метамфетамин.",,,,,,,,,,,,,,
,,В,,,"первитин, метамфетамин.",,,,,,,,,,,,,,
,,Виктор Палыч,,,"первитин, метамфетамин.",,,,,,,,,,,,,,
,,Витёк,,,"первитин, метамфетамин.",,,,,,,,,,,,,,
,,Первый,,,"первитин, метамфетамин.",,,,,,,,,,,,,,
,,Анаша,,,"вонючка), Петрушка, Чё, Газета, Шмале-волокно, Гринфилд, Дым, Пятка, Кукис, Рыжуха, Марь Иванна, Нитротодаксин(сев. Казахстан) — марихуана.",,,,,,,,,,,,,,
,,Баш,,,"вонючка), Петрушка, Чё, Газета, Шмале-волокно, Гринфилд, Дым, Пятка, Кукис, Рыжуха, Марь Иванна, Нитротодаксин(сев. Казахстан) — марихуана.",,,,,,,,,,,,,,
,,Баха,,,"вонючка), Петрушка, Чё, Газета, Шмале-волокно, Гринфилд, Дым, Пятка, Кукис, Рыжуха, Марь Иванна, Нитротодаксин(сев. Казахстан) — марихуана.",,,,,,,,,,,,,,
,,Беладонна,,,"вонючка), Петрушка, Чё, Газета, Шмале-волокно, Гринфилд, Дым, Пятка, Кукис, Рыжуха, Марь Иванна, Нитротодаксин(сев. Казахстан) — марихуана.",,,,,,,,,,,,,,
,,Дед,,,"вонючка), Петрушка, Чё, Газета, Шмале-волокно, Гринфилд, Дым, Пятка, Кукис, Рыжуха, Марь Иванна, Нитротодаксин(сев. Казахстан) — марихуана.",,,,,,,,,,,,,,
,,Дубас,,,"вонючка), Петрушка, Чё, Газета, Шмале-волокно, Гринфилд, Дым, Пятка, Кукис, Рыжуха, Марь Иванна, Нитротодаксин(сев. Казахстан) — марихуана.",,,,,,,,,,,,,,
,,Дядя,,,"вонючка), Петрушка, Чё, Газета, Шмале-волокно, Гринфилд, Дым, Пятка, Кукис, Рыжуха, Марь Иванна, Нитротодаксин(сев. Казахстан) — марихуана.",,,,,,,,,,,,,,
,,Дядя Бо,,,"вонючка), Петрушка, Чё, Газета, Шмале-волокно, Гринфилд, Дым, Пятка, Кукис, Рыжуха, Марь Иванна, Нитротодаксин(сев. Казахстан) — марихуана.",,,,,,,,,,,,,,
,,Бо-бо,,,"вонючка), Петрушка, Чё, Газета, Шмале-волокно, Гринфилд, Дым, Пятка, Кукис, Рыжуха, Марь Иванна, Нитротодаксин(сев. Казахстан) — марихуана.",,,,,,,,,,,,,,
,,Дудка,,,"вонючка), Петрушка, Чё, Газета, Шмале-волокно, Гринфилд, Дым, Пятка, Кукис, Рыжуха, Марь Иванна, Нитротодаксин(сев. Казахстан) — марихуана.",,,,,,,,,,,,,,
,,Шишки,,,"вонючка), Петрушка, Чё, Газета, Шмале-волокно, Гринфилд, Дым, Пятка, Кукис, Рыжуха, Марь Иванна, Нитротодаксин(сев. Казахстан) — марихуана.",,,,,,,,,,,,,,
,,Срост,,,"вонючка), Петрушка, Чё, Газета, Шмале-волокно, Гринфилд, Дым, Пятка, Кукис, Рыжуха, Марь Иванна, Нитротодаксин(сев. Казахстан) — марихуана.",,,,,,,,,,,,,,
,,Драп,,,"вонючка), Петрушка, Чё, Газета, Шмале-волокно, Гринфилд, Дым, Пятка, Кукис, Рыжуха, Марь Иванна, Нитротодаксин(сев. Казахстан) — марихуана.",,,,,,,,,,,,,,
,,Дуст,,,"вонючка), Петрушка, Чё, Газета, Шмале-волокно, Гринфилд, Дым, Пятка, Кукис, Рыжуха, Марь Иванна, Нитротодаксин(сев. Казахстан) — марихуана.",,,,,,,,,,,,,,
,,Каннабис,,,"вонючка), Петрушка, Чё, Газета, Шмале-волокно, Гринфилд, Дым, Пятка, Кукис, Рыжуха, Марь Иванна, Нитротодаксин(сев. Казахстан) — марихуана.",,,,,,,,,,,,,,
,,Масть,,,"вонючка), Петрушка, Чё, Газета, Шмале-волокно, Гринфилд, Дым, Пятка, Кукис, Рыжуха, Марь Иванна, Нитротодаксин(сев. Казахстан) — марихуана.",,,,,,,,,,,,,,
,,План,,,"вонючка), Петрушка, Чё, Газета, Шмале-волокно, Гринфилд, Дым, Пятка, Кукис, Рыжуха, Марь Иванна, Нитротодаксин(сев. Казахстан) — марихуана.",,,,,,,,,,,,,,
,,Пластик,,,"вонючка), Петрушка, Чё, Газета, Шмале-волокно, Гринфилд, Дым, Пятка, Кукис, Рыжуха, Марь Иванна, Нитротодаксин(сев. Казахстан) — марихуана.",,,,,,,,,,,,,,
,,Пал Палыч,,,"вонючка), Петрушка, Чё, Газета, Шмале-волокно, Гринфилд, Дым, Пятка, Кукис, Рыжуха, Марь Иванна, Нитротодаксин(сев. Казахстан) — марихуана.",,,,,,,,,,,,,,
,,Раса,,,"вонючка), Петрушка, Чё, Газета, Шмале-волокно, Гринфилд, Дым, Пятка, Кукис, Рыжуха, Марь Иванна, Нитротодаксин(сев. Казахстан) — марихуана.",,,,,,,,,,,,,,
,,Ручник,,,"вонючка), Петрушка, Чё, Газета, Шмале-волокно, Гринфилд, Дым, Пятка, Кукис, Рыжуха, Марь Иванна, Нитротодаксин(сев. Казахстан) — марихуана.",,,,,,,,,,,,,,
,,Сканк (английский,,,"вонючка), Петрушка, Чё, Газета, Шмале-волокно, Гринфилд, Дым, Пятка, Кукис, Рыжуха, Марь Иванна, Нитротодаксин(сев. Казахстан) — марихуана.",,,,,,,,,,,,,,
,,Ганджа,,,марихуана.,,,,,,,,,,,,,,
,,Ганжа,,,марихуана.,,,,,,,,,,,,,,
,,Ганджубас,,,марихуана.,,,,,,,,,,,,,,
,,Ганя,,,марихуана.,,,,,,,,,,,,,,
,,Зелёнка,,,марихуана.,,,,,,,,,,,,,,
,,Сенсимилья,,,марихуана.,,,,,,,,,,,,,,
,,Виталя,,,марихуана.,,,,,,,,,,,,,,
,,Галя,,,гашиш.,,,,,,,,,,,,,,
,,Гарик,,,гашиш.,,,,,,,,,,,,,,
,,Гарисон Форд,,,гашиш.,,,,,,,,,,,,,,
,,Гарсон,,,гашиш.,,,,,,,,,,,,,,
,,Гашик,,,гашиш.,,,,,,,,,,,,,,
,,Свежак,,,гашиш.,,,,,,,,,,,,,,
,,Кэмчик,,,гашиш.,,,,,,,,,,,,,,
,,Кэм,,,гашиш.,,,,,,,,,,,,,,
,,Камон,,,гашиш.,,,,,,,,,,,,,,
,,Кэмел,,,гашиш.,,,,,,,,,,,,,,
,,Кэл (в Купчино),,,гашиш.,,,,,,,,,,,,,,
,,Кирпич,,,гашиш.,,,,,,,,,,,,,,
,,Хлеб,,,гашиш.,,,,,,,,,,,,,,
,,Аршин,,,гашиш.,,,,,,,,,,,,,,
,,Геннадий,,,гашиш.,,,,,,,,,,,,,,
,,Хэш (английский),,,гашиш.,,,,,,,,,,,,,,
,,Товарищ Игорь,,,гашиш.,,,,,,,,,,,,,,
,,Гари Гарисон,,,гашиш.,,,,,,,,,,,,,,
,,Ярик,,,гашиш.,,,,,,,,,,,,,,
,,Ляпка,,,гашиш.,,,,,,,,,,,,,,
,,Гаштет,,,гашиш.,,,,,,,,,,,,,,
,,Гера,,,героин.,,,,,,,,,,,,,,
,,Герыч,,,героин.,,,,,,,,,,,,,,
,,Герик,,,героин.,,,,,,,,,,,,,,
,,Герасим,,,героин.,,,,,,,,,,,,,,
,,Герман,,,героин.,,,,,,,,,,,,,,
,,Гертруда,,,героин.,,,,,,,,,,,,,,
,,Говно (в Санкт-Петербурге),,,героин.,,,,,,,,,,,,,,
,,Греча,,,героин.,,,,,,,,,,,,,,
,,Гречка,,,героин.,,,,,,,,,,,,,,
,,Второй,,,героин.,,,,,,,,,,,,,,
,,Хмурый,,,героин.,,,,,,,,,,,,,,
,,Перец,,,героин.,,,,,,,,,,,,,,
,,Детский Митрофан,,,"декстрометорфан, DXM — диссоциатив, активное вещество в сиропах от кашля («Туссин Плюс», «Гликодин» и т. п.) и в некоторых таблетках от кашля («Атуссин»).",,,,,,,,,,,,,,
,,Дэкс,,,"декстрометорфан, DXM — диссоциатив, активное вещество в сиропах от кашля («Туссин Плюс», «Гликодин» и т. п.) и в некоторых таблетках от кашля («Атуссин»).",,,,,,,,,,,,,,
,,Декс,,,"декстрометорфан, DXM — диссоциатив, активное вещество в сиропах от кашля («Туссин Плюс», «Гликодин» и т. п.) и в некоторых таблетках от кашля («Атуссин»).",,,,,,,,,,,,,,
,,Декстра,,,"декстрометорфан, DXM — диссоциатив, активное вещество в сиропах от кашля («Туссин Плюс», «Гликодин» и т. п.) и в некоторых таблетках от кашля («Атуссин»).",,,,,,,,,,,,,,
,,Джараш,,,"курительные миксы — энтеогенные и ароматические травы, предположительно, опрыскиваемые синтетическим каннабиноидом JWH-018 (1-pentyl-3-(1-naphthoyl)indole)",,,,,,,,,,,,,,
,,Индусик,,,"курительные миксы — энтеогенные и ароматические травы, предположительно, опрыскиваемые синтетическим каннабиноидом JWH-018 (1-pentyl-3-(1-naphthoyl)indole)",,,,,,,,,,,,,,
,,смок,,,"курительные миксы — энтеогенные и ароматические травы, предположительно, опрыскиваемые синтетическим каннабиноидом JWH-018 (1-pentyl-3-(1-naphthoyl)indole)",,,,,,,,,,,,,,
,,май и т. д.,,,"курительные миксы — энтеогенные и ароматические травы, предположительно, опрыскиваемые синтетическим каннабиноидом JWH-018 (1-pentyl-3-(1-naphthoyl)indole)",,,,,,,,,,,,,,
,,Джанк,,,"(английский — отбросы) общее название опиатов (героин, кодеин, ханка).",,,,,,,,,,,,,,
,,Джеф,,,"эфедрон (меткатинон), кустарно полученный из эфедрина.",,,,,,,,,,,,,,
,,Дима,,,дифенгидрамин.,,,,,,,,,,,,,,
,,Дичка,,,"трава низкого качества, иногда имеется ввиду дикорастущая конопля.",,,,,,,,,,,,,,
,,Шала,,,"трава низкого качества, иногда имеется ввиду дикорастущая конопля.",,,,,,,,,,,,,,
,,Шалапета,,,"трава низкого качества, иногда имеется ввиду дикорастущая конопля.",,,,,,,,,,,,,,
,,Шалубень,,,"трава низкого качества, иногда имеется ввиду дикорастущая конопля.",,,,,,,,,,,,,,
,,Шалубас,,,"трава низкого качества, иногда имеется ввиду дикорастущая конопля.",,,,,,,,,,,,,,
,,Беспонтовка,,,"трава низкого качества, иногда имеется ввиду дикорастущая конопля.",,,,,,,,,,,,,,
,,Нифель,,,"трава низкого качества, иногда имеется ввиду дикорастущая конопля.",,,,,,,,,,,,,,
,,Бутер,,,"трава низкого качества, иногда имеется ввиду дикорастущая конопля.",,,,,,,,,,,,,,
,,Порожняк,,,"трава низкого качества, иногда имеется ввиду дикорастущая конопля.",,,,,,,,,,,,,,
,,Арычница,,,"трава низкого качества, иногда имеется ввиду дикорастущая конопля.",,,,,,,,,,,,,,
,,Подзаборка,,,"трава низкого качества, иногда имеется ввиду дикорастущая конопля.",,,,,,,,,,,,,,
,,Дурь,,,"марихуана, гашиш.",,,,,,,,,,,,,,
,,E,,,экстази.,,,,,,,,,,,,,,
,,Ешка,,,экстази.,,,,,,,,,,,,,,
,,Мерседесы,,,экстази.,,,,,,,,,,,,,,
,,Мицики,,,экстази.,,,,,,,,,,,,,,
,,Пиктограммы и т. д. (в зависимости от типа),,,экстази.,,,,,,,,,,,,,,
,,Кальций,,,барбитурат кальция.,,,,,,,,,,,,,,
,,Твёрдый,,,"гашиш, твёрдой консистенции.",,,,,,,,,,,,,,
,,Колеса,,,наркотик в таблетках (чаще всего экстази).,,,,,,,,,,,,,,
,,Круглые,,,наркотик в таблетках (чаще всего экстази).,,,,,,,,,,,,,,
,,Диски,,,наркотик в таблетках (чаще всего экстази).,,,,,,,,,,,,,,
,,Бублики,,,наркотик в таблетках (чаще всего экстази).,,,,,,,,,,,,,,
,,Крокодил,,,дезоморфин.,,,,,,,,,,,,,,
,,Дот,,,ЛСД.,,,,,,,,,,,,,,
,,Микродот,,,ЛСД.,,,,,,,,,,,,,,
,,Двадцать Пятое (из-за шифра LSD-25),,,ЛСД.,,,,,,,,,,,,,,
,,Кислое,,,ЛСД.,,,,,,,,,,,,,,
,,Кисляк,,,ЛСД.,,,,,,,,,,,,,,
,,Лиза,,,ЛСД.,,,,,,,,,,,,,,
,,Лизер (от лизергиновая кислота),,,ЛСД.,,,,,,,,,,,,,,
,,Лимон,,,ЛСД.,,,,,,,,,,,,,,
,,Люся,,,ЛСД.,,,,,,,,,,,,,,
,,Хофман,,,ЛСД.,,,,,,,,,,,,,,
,,Как у Иры,,,кокаин.,,,,,,,,,,,,,,
,,Иней,,,кокаин.,,,,,,,,,,,,,,
,,Мел,,,кокаин.,,,,,,,,,,,,,,
,,Номер 1,,,кокаин.,,,,,,,,,,,,,,
,,Орех,,,кокаин.,,,,,,,,,,,,,,
,,Снег,,,кокаин.,,,,,,,,,,,,,,
,,Николай Николаевич,,,кокаин.,,,,,,,,,,,,,,
,,Кекс,,,кокаин.,,,,,,,,,,,,,,
,,дядя Костя,,,кокаин.,,,,,,,,,,,,,,
,,Красный крест,,,аптечный пункт.,,,,,,,,,,,,,,
,,зелёный крест,,,аптечный пункт.,,,,,,,,,,,,,,
,,драгстерия,,,аптечный пункт.,,,,,,,,,,,,,,
,,Крэк (английский: треск,,,"кокаин в виде основания, получаемый нагреванием кокаина с содой. Крэк курится через специальные трубочки.",,,,,,,,,,,,,,
,,хруст),,,"кокаин в виде основания, получаемый нагреванием кокаина с содой. Крэк курится через специальные трубочки.",,,,,,,,,,,,,,
,,Куземяка,,,героин.,,,,,,,,,,,,,,
,,Хмурь,,,героин.,,,,,,,,,,,,,,
,,Говно,,,героин.,,,,,,,,,,,,,,
,,Говнишко,,,героин.,,,,,,,,,,,,,,
,,Тёмный,,,героин.,,,,,,,,,,,,,,
,,Медицина,,,"морфий или другой опиат (промедол, омнопон), выпущенный в ампулах для медицинских целей.",,,,,,,,,,,,,,
,,Кристалл,,,метамфетамин.,,,,,,,,,,,,,,
,,Мет,,,метамфетамин.,,,,,,,,,,,,,,
,,Метамфа,,,метамфетамин.,,,,,,,,,,,,,,
,,Порох,,,метамфетамин.,,,,,,,,,,,,,,
,,Москва,,,шкатулка для хранения гашиша.,,,,,,,,,,,,,,
,,Настя,,,"кетамин, сильный диссоциатив.",,,,,,,,,,,,,,
,,пончики,,,гидропоника.,,,,,,,,,,,,,,
,,поника,,,гидропоника.,,,,,,,,,,,,,,
,,Гидра,,,гидропоника.,,,,,,,,,,,,,,
,,Гидрач,,,гидропоника.,,,,,,,,,,,,,,
,,Пыль,,,кокаин.,,,,,,,,,,,,,,
,,№ 1,,,кокаин.,,,,,,,,,,,,,,
,,Сало,,,Лекарство от кашля «Солутан».,,,,,,,,,,,,,,
,,Салют,,,Лекарство от кашля «Солутан».,,,,,,,,,,,,,,
,,Синя,,,алкоголь.,,,,,,,,,,,,,,
,,Синька,,,алкоголь.,,,,,,,,,,,,,,
,,Сканк,,,сорт психотропной конопли с высоким содержанием тетрагидроканнабинола.,,,,,,,,,,,,,,
,,Скан,,,сорт психотропной конопли с высоким содержанием тетрагидроканнабинола.,,,,,,,,,,,,,,
,,Спид (Спиды) (английский,,,"скорость), Фен, Шустрый, Быстрый, Роп — амфетамин (фенамин).",,,,,,,,,,,,,,
,,Солома,,,1. марихуана низкого качества; 2. высушенный и измельчённый опиумный или масляничный мак.,,,,,,,,,,,,,,
,,Сонники,,,седативные или снотворные препараты.,,,,,,,,,,,,,,
,,Терп,,,кодеиновые таблетки.,,,,,,,,,,,,,,
,,Терпинкод,,,кодеиновые таблетки.,,,,,,,,,,,,,,
,,Нурофен +,,,кодеиновые таблетки.,,,,,,,,,,,,,,
,,Коделак,,,кодеиновые таблетки.,,,,,,,,,,,,,,
,,Трам,,,"трамал, анальгетическое опиоидное средство.",,,,,,,,,,,,,,
,,Хайс (английский,,,highs) — любой из подвидов наркотиков.,,,,,,,,,,,,,,
,,Грязь,,,"опиум-сырец, засохший сок опийного мака.",,,,,,,,,,,,,,
,,Чёрный,,,"опиум-сырец, засохший сок опийного мака.",,,,,,,,,,,,,,
,,Черняшка,,,"опиум-сырец, засохший сок опийного мака.",,,,,,,,,,,,,,
,,Хэйс (английский,,,haze) — вид конопли (например Purple Haze).,,,,,,,,,,,,,,
,,Апулуха,,,ампула с наркотическим раствором.,,,,,,,,,,,,,,
,,Хуюха,,,ампула с наркотическим раствором.,,,,,,,,,,,,,,
,,Бутылка,,,ампула с наркотическим раствором.,,,,,,,,,,,,,,
,,Варшавка,,,"смесь так называемых «быстрых» и «медленных» наркотиков — кокаин, амфетамин + морфий, героин, метадон.",,,,,,,,,,,,,,
,,Качели,,,"смесь так называемых «быстрых» и «медленных» наркотиков — кокаин, амфетамин + морфий, героин, метадон.",,,,,,,,,,,,,,
,,Гашиш,,,"вещество напоминающее по строению пластилин, курят как ганжу, за исключение косяков.",,,,,,,,,,,,,,
,,Пластилин,,,"вещество напоминающее по строению пластилин, курят как ганжу, за исключение косяков.",,,,,,,,,,,,,,
,,Гашло,,,"вещество напоминающее по строению пластилин, курят как ганжу, за исключение косяков.",,,,,,,,,,,,,,
,,Мáцанка,,,"вещество напоминающее по строению пластилин, курят как ганжу, за исключение косяков.",,,,,,,,,,,,,,
,,Бокш,,,"вещество напоминающее по строению пластилин, курят как ганжу, за исключение косяков.",,,,,,,,,,,,,,
,,Калик,,,"таблетка, наркотик в таблетированной форме.",,,,,,,,,,,,,,
,,Конфета,,,"таблетка, наркотик в таблетированной форме.",,,,,,,,,,,,,,
,,Колесо,,,"таблетка, наркотик в таблетированной форме.",,,,,,,,,,,,,,
,,Тапок,,,"таблетка, наркотик в таблетированной форме.",,,,,,,,,,,,,,
,,Кнопка,,,"таблетка, наркотик в таблетированной форме.",,,,,,,,,,,,,,
,,Круглое,,,"таблетка, наркотик в таблетированной форме.",,,,,,,,,,,,,,
,,Табла,,,"таблетка, наркотик в таблетированной форме.",,,,,,,,,,,,,,
,,Тапка,,,"таблетка, наркотик в таблетированной форме.",,,,,,,,,,,,,,
,,Радуга,,,"таблетка, наркотик в таблетированной форме.",,,,,,,,,,,,,,
,,Шайба,,,"таблетка, наркотик в таблетированной форме.",,,,,,,,,,,,,,
,,Каша,,,высококачественный продукт из марихуаны. Мельчайшая фракция при просеве жареная на подсолнечным маслом.,,,,,,,,,,,,,,
,,Кузьмич,,,"жаренная в масле марихуана, иногда с кашей.",,,,,,,,,,,,,,
,,Жарёха,,,"жаренная в масле марихуана, иногда с кашей.",,,,,,,,,,,,,,
,,Ликвид,,,(английский — жидкость) раствор ЛСД.,,,,,,,,,,,,,,
,,Лошадь,,,огромный расплющенный кусок гашиша.,,,,,,,,,,,,,,
,,Спартанская,,,огромный расплющенный кусок гашиша.,,,,,,,,,,,,,,
,,Гангста плюха,,,огромный расплющенный кусок гашиша.,,,,,,,,,,,,,,
,,Иксовая,,,огромный расплющенный кусок гашиша.,,,,,,,,,,,,,,
,,Спортивная,,,огромный расплющенный кусок гашиша.,,,,,,,,,,,,,,
,,Шмель,,,огромный расплющенный кусок гашиша.,,,,,,,,,,,,,,
,,Квадрат,,,"почтовая марка, имеющая с клеевой стороны слой ЛСД или другого наркотика. Чтобы употребить наркотик, марку лижут, как перед наклеиванием на конверт, или проглатывают (см. Промокашка).",,,,,,,,,,,,,,
,,Молочище,,,отвар из молока и кустов конопли.,,,,,,,,,,,,,,
,,Манага,,,отвар из молока и кустов конопли.,,,,,,,,,,,,,,
,,Маняга,,,отвар из молока и кустов конопли.,,,,,,,,,,,,,,
,,Молоко,,,отвар из молока и кустов конопли.,,,,,,,,,,,,,,
